rimod18	rimod38	rimod61	rimod59	rimod43	rimod34	rimod37	rimod62	rimod68	rimod19	rimod31	rimod47	rimod28	rimod58	rimod29	rimod11	rimod40	rimod30	rimod24	rimod64	rimod35	rimod7	rimod72	rimod16	rimod33	rimod15	rimod71	rimod32	rimod22	rimod54	rimod52	rimod36	rimod13	rimod60	rimod53	rimod57	rimod42	rimod27	rimod2	rimod12	rimod44	rimod65	rimod1	rimod3	rimod41	rimod25
hsa-let-7g-5p	33979.927160842	38087.7175624667	38539.9143854204	35993.7435235793	31094.9180651945	43081.2675198471	34902.6786843905	44703.9748431074	35977.4436732889	36606.6756174719	32939.6491091973	41417.1436590046	35812.8700069098	36378.4424898598	36552.0571021522	37536.8422967464	33728.5928564365	43748.3689840297	26808.6742355061	45593.8231663908	40181.9495851131	42763.5148870938	26585.4208697	35403.9711323223	40781.4724593263	41177.9183924098	33901.6952471873	44983.4450988781	31102.9046261541	32612.2538304932	37806.3326684947	36635.4526077652	27706.8430467731	34581.6440813301	31827.5605005085	41369.271116102	28420.3551278517	51956.2079324762	90395.6579141633	56685.6358669139	56553.3580581099	67546.6719899489	85359.7896084562	66791.7890049074	77421.6893955947	78394.2349629744
hsa-let-7i-3p	159.198774764608	116.528716255011	115.116370662727	86.8944192008005	126.056110794073	107.024929421308	107.155878144536	118.221109033987	135.550808188216	95.9917321770778	118.775572428347	83.9839340598057	94.0081485779451	131.926656892052	132.717849367063	129.266840274476	127.108621815548	158.775093503655	124.587721008456	127.566654678842	86.2968044780953	94.1886147903039	145.049061642946	89.5076751508699	76.2290581458554	288.127742767429	166.004461606014	110.591765032161	111.656033264482	178.702434902051	113.358032341032	129.76451449277	130.324862767245	122.040155564969	114.649356231525	90.2734982685329	82.9776057025753	488.787451892501	269.898089155058	457.307280372382	427.067913420312	370.084410758275	387.393327859709	522.67306064587	779.665924438926	336.136282825661
hsa-let-7i-5p	21482.8233418203	17850.9727122018	19838.7367150301	15541.1317206447	18771.5864817533	15218.6960685253	14173.0391952109	16518.1640082378	15298.0382941084	14632.7968116791	15511.4687103974	19186.596313374	17165.3797781783	22159.6805803831	17940.3304615006	20565.7922579287	17070.9622449831	16377.1575259674	18697.4557423884	16824.624344865	16020.1927188164	15220.8801501131	16227.733794421	17985.777547963	17470.4117485825	35579.0417383517	18675.5019306766	16578.9778729629	18482.7953730472	25494.2536866052	19282.2965600602	14821.0609993785	15888.4943804443	18861.1440423594	17300.8126579965	18143.052439246	12887.787619881	15397.9911119242	27810.0081984171	15793.4107331961	16633.7827462251	21862.6870890196	26876.504394688	18803.2098578971	23553.9665069428	19760.1502678438
hsa-miR-100-3p	99.1237654194728	44.1582503703199	32.4418862776776	24.6417009673912	63.5667567252165	64.7127480221864	50.2293178802512	72.4859354660944	58.7386835482268	42.0535207632912	59.7759416796255	31.7272639781488	39.8052521005714	47.9733297789279	69.2865243019224	69.6916878001521	43.8936247996137	61.8953754336283	99.4842249843642	46.6910631504258	36.4064643891964	28.2565844370912	46.3762305933229	34.7500385879848	32.2094611883896	167.736338512494	104.695995671975	68.5081730287724	59.5498844077237	94.0539131063425	24.7673011837548	76.7424548075521	42.3277332064556	36.7200468071587	34.8444121880126	49.9385309570607	35.7118809352856	5.93188655209346	7.2727030011842	5.75631541727474	6.83308661472499	13.8534271406841	8.7381953652566	9.30023239583398	14.3849801556997	13.6008900565297
hsa-miR-100-5p	296028.619799555	52368.0050850018	70195.8698052098	99723.6668834022	120359.8829499	88157.4299450705	68122.6752197926	66281.484561318	201035.403623943	169626.532826628	160534.890023547	38172.5643398274	96239.7834563495	99476.6970740886	211552.251891098	168030.031464609	55055.4078059488	238284.636937497	257775.713802944	128163.63327198	43223.911942966	95159.6994087919	134639.077967211	152487.381449967	68426.8529973211	198051.976273812	260105.411157418	207096.292313234	100917.700358659	265008.186646693	93433.691127208	206513.945887123	155533.255667121	75908.9767614105	107740.046498631	100281.371943601	74388.8983376391	35044.3993724577	35146.5493703895	28218.0977660827	25771.6694760968	49479.8239374767	22164.4325439734	40868.3212247598	63965.9789579532	67063.3982230227
hsa-miR-101-3p	107777.570515639	81159.1843264504	80054.0171837815	63917.978446153	76907.1564162611	67714.4239496771	65745.1541734607	83275.9847169045	71905.1853835755	57685.5457965851	89346.4013486984	93902.4366722687	65042.6288525911	78373.7623413357	89922.1981454217	108237.93551052	80234.8027821439	69573.0930906779	85800.0303738981	51830.415172912	67001.3783518212	60128.1279098342	77365.4199127675	48512.1069002991	62485.2810567695	200822.331284083	82808.8733335227	63741.961562342	75588.1570258338	109646.170821112	44036.2615047161	61347.2207144771	86028.8899666891	74720.9752470612	70702.6843693667	52277.9590611261	56236.7593281213	73716.7405601758	60028.8905717744	89537.5675439028	75469.3917336531	63019.8997499787	61187.7566793151	80593.9538958181	103969.457972542	85846.2273910901
hsa-miR-101-5p	345.431303734526	333.640113909083	351.628186751602	311.263591167046	316.756380969723	247.650708777213	259.518142381298	327.049637400593	328.710709856423	284.318368638773	329.155834703392	356.465142342731	350.624986588012	331.815530970918	392.298348864406	316.984773542627	342.004493230324	279.874741091189	352.37870344929	282.647685857042	310.129141093155	291.984705849942	371.009844746583	360.136763548206	339.27299118437	512.678002388993	366.907588436019	274.032692115089	314.125640250742	338.594087182833	258.151485415291	273.482202586913	329.71076392397	331.560422641109	302.359576728238	241.049447504274	240.530021593541	0	48.4846866745613	3.83754361151649	3.4165433073625	2.63874802679697	45.1473427204924	43.4010845138919	47.7581341169232	41.4503316008523
hsa-miR-103a-2-5p	33.0412551398243	20.8525071193177	23.0232741325454	20.7509060778031	30.1672743780689	34.8453258581004	33.4862119201674	14.6697726538524	36.1468821835242	40.2251068170612	26.3945716507437	21.4625609263948	33.0298900408997	30.6496273587595	21.4690638682013	16.8608922097142	30.1768670497344	17.0436541049121	15.8059049040579	20.8442246207258	14.8322632696726	27.3146982891881	57.2302420087814	34.7500385879848	40.7986508386268	14.879836480947	20.7505577007517	7.82950548900256	44.6624133057927	24.454017407649	34.2931862544297	20.232101721991	40.0999577745369	35.6400454304776	21.3562526313626	14.4053454683829	18.9062899069159	0	55.7573896757455	0	0	0	39.3218791436547	24.8006197222239	26.4683634864875	35.6213787194824
hsa-miR-105-3p	3.00375046725675	6.13309032921109	3.13953738171074	6.48465814931347	7.54181859451721	9.95580738802868	11.7201741720586	11.2180614411813	1.12959006823513	4.57103486557514	9.31573117085073	10.264703051754	9.31612283204862	7.99555496315465	4.87933269731848	3.37217844194284	10.0589556832448	5.38220655944594	7.43807289602723	10.0052278179484	9.43871298979167	5.65131688741823	5.92036986297739	8.42425177890541	9.66283835651688	5.41084962943528	5.65924300929593	15.6590109780051	5.95498844077237	3.7621565242537	13.3362390989449	4.88361076048059	4.45555086383743	15.1200192735359	15.7361861494251	6.72249455191202	10.503494392731	4.74550924167477	4.84846866745613	6.39590601919415	6.14977795325249	1.97906102009773	2.91273178841887	5.58013943750039	4.02779444359593	0.647661431263317
hsa-miR-105-5p	24.030003738054	49.0647226336887	48.1395731862313	75.2220345320362	47.4057168798225	73.4240794867115	65.2981132443265	54.3644515995708	42.924422592935	67.651316010512	64.4338072650509	67.1871472478445	94.8550688354041	38.6451823219141	45.8657273547937	66.3195093582092	42.0647237662965	62.7924098602026	41.8391600401532	67.5352877711516	99.7806801777977	82.8859810154674	74.9913515977136	107.409210181044	88.0391939149315	29.759672961894	49.9899799154474	75.3589903316496	52.1061488567582	20.6918608833953	88.5907311572768	55.8126944054924	56.8082735139273	46.440059197289	52.8286249302127	62.4231636963259	75.6251596276635	262.189385602531	199.595293476944	280.780274242623	265.12376065133	226.27264329784	322.585045567389	201.50503524307	141.548204732086	177.459232166149
